/Users/tigran/workspace/dwg_parser/codes/parser.py:397: SyntaxWarning: invalid escape sequence '\P'
elem: name=Schaltkreis_A01KSY9VXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(542.4426009735737, 458.8881958821876, 0.0) matrix=(-1276.9536650180119, -1402.2341647250737)
  * MTEXT None layer=0 text='S07 ' ins=(542.4426009735737, 460.3281958676839, 0.0) img_pos=(2419.7007515717314, 4771.7457221600735)
elem: name=S07_A01KSY9WXE layer=ADE_ET_SIBE_Wand text= ins=(213.2191938695526, 468.9146909062154, 0.0) matrix=(-1276.9536650180128, -1402.2341647250735)
elem: name=Schaltkreis_A01KSY9XXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(214.8831938527928, 470.7946908872798, 0.0) matrix=(-1276.9536650180125, -1402.2341647250735)
  * MTEXT None layer=0 text='S07 ' ins=(214.88319385279283, 472.2346908727759, 0.0) img_pos=(488.4650804236344, 4700.05697390775)
elem: name=Schaltkreis_A01KSY9YXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(215.2831938487641, 469.6718108985895, 0.0) matrix=(-1276.9536650180125, -1402.2341647250737)
  * MTEXT None layer=0 text='LPS01-02-05 ' ins=(215.28319384876409, 471.11181088408557, 0.0) img_pos=(490.82341373321105, 4706.679554348335)
elem: name=S07_A01KSYA5XE layer=ADE_ET_SIBE_Wand text= ins=(213.2261388627635, 1165.394333414299, 0.0) matrix=(-1276.9536650180128, -1402.234164725072)
elem: name=Schaltkreis_A01KSYA6XE layer=ADE_ET_SIBE_Wand-TXT text= ins=(208.6028769093296, 1166.151453406674, 0.0) matrix=(-1276.9536650180123, -1402.2341647250712)
  * MTEXT None layer=0 text='S07 ' ins=(208.60287690932955, 1167.5914533921703, 0.0) img_pos=(451.4373784457887, 600.0400943434133)
elem: name=Schaltkreis_A01KSYA7XE layer=ADE_ET_SIBE_Wand-TXT text= ins=(200.9744949861631, 1164.67145342158, 0.0) matrix=(-1276.9536650180125, -1402.234164725072)
  * MTEXT None layer=0 text='LPS01-02-01 ' ins=(200.9744949861631, 1166.111453407076, 0.0) img_pos=(406.46171002381834, 608.7319364598407)
elem: name=E-Verteiler_A01KSYA8XE layer=ADE_ET_SIBE_Zentrale text= ins=(401.8463180991364, 464.1658164674459, 0.0) matrix=(-1276.9536650180119, -1402.2341647250742)
elem: name=E-Verteiler_A01KSYA9XE layer=ADE_ET_SIBE_Zentrale text= ins=(340.6463187076274, 813.3658129505693, 0.0) matrix=(-1276.9536650180128, -1402.2341647250723)
elem: name=E-Verteiler_A01KSYAAXE layer=ADE_ET_SIBE_Zentrale text= ins=(359.8463185221635, 1173.249520244815, 0.0) matrix=(-1276.953665018012, -1402.2341647250719)
elem: name=E-Verteiler_A01KSYABXE layer=ADE_ET_SIBE_Zentrale text= ins=(881.8469231684971, 464.1658163690718, 0.0) matrix=(-1276.9536650180116, -1402.2341647250737)
elem: name=E-Verteiler_A01KSYACXE layer=ADE_ET_SIBE_Zentrale text= ins=(938.646312685371, 815.3658129596324, 0.0) matrix=(-1276.9536650180116, -1402.2341647250723)
elem: name=E-Verteiler_A01KSYADXE layer=ADE_ET_SIBE_Zentrale text= ins=(941.846312653141, 1170.053809394086, 0.0) matrix=(-1276.9536650180107, -1402.2341647250712)
elem: name=E-Verteiler_A01KSYAEXE layer=ADE_ET_SIBE_Zentrale text= ins=(1065.446311408059, 1029.307998275293, 0.0) matrix=(-1276.9536650180107, -1402.2341647250723)
elem: name=E-Verteiler_A01KSYAFXE layer=ADE_ET_SIBE_Zentrale text= ins=(1062.086350511651, 507.7658160283036, 0.0) matrix=(-1276.953665018011, -1402.234164725074)
elem: name=Lichtschiene Tecton WS_A01KSYAGXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 663.4410040377802, 0.0) matrix=(-1276.953665018012, -1402.2341647250732)
elem: name=Lichtschiene Tecton WS_A01KSYAHXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 695.4410037154739, 0.0) matrix=(-1276.953665018012, -1402.2341647250728)
elem: name=Lichtschiene Tecton WS_A01KSYAIXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 727.4410033931676, 0.0) matrix=(-1276.953665018012, -1402.2341647250728)
elem: name=Lichtschiene Tecton WS_A01KSYAJXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 759.4410030708614, 0.0) matrix=(-1276.953665018012, -1402.2341647250728)
elem: name=Lichtschiene Tecton WS_A01KSYAKXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 791.4410027485551, 0.0) matrix=(-1276.953665018012, -1402.2341647250723)
elem: name=Lichtschiene Tecton WS_A01KSYALXE layer=ADE_ET_BEL_Lichtschiene text= ins=(294.40631918128, 825.0410024101334, 0.0) matrix=(-1276.953665018012, -1402.2341647250723)
